Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,90194,2009,04,22,24.5,1,Y
IDCJAC0010,90194,2009,04,23,23.4,1,Y
IDCJAC0010,90194,2009,04,24,18.6,1,Y
IDCJAC0010,90194,2009,04,25,16.4,1,Y
IDCJAC0010,90194,2009,04,26,13.3,1,Y
IDCJAC0010,90194,2009,04,27,12.6,1,Y
IDCJAC0010,90194,2009,04,28,12.8,1,Y
IDCJAC0010,90194,2009,04,29,14.6,1,Y
IDCJAC0010,90194,2009,04,30,17.6,1,Y
IDCJAC0010,90194,2009,05,01,15.7,1,Y
IDCJAC0010,90194,2009,05,02,17.8,1,Y
IDCJAC0010,90194,2009,05,03,16.6,1,Y
IDCJAC0010,90194,2009,05,04,16.4,1,Y
IDCJAC0010,90194,2009,05,05,16.7,1,Y
IDCJAC0010,90194,2009,05,06,16.2,1,Y
IDCJAC0010,90194,2009,05,07,16.6,1,Y
IDCJAC0010,90194,2009,05,08,15.2,1,Y
IDCJAC0010,90194,2009,05,09,15.4,1,Y
IDCJAC0010,90194,2009,05,10,14.6,1,Y
IDCJAC0010,90194,2009,05,11,16.9,1,Y
IDCJAC0010,90194,2009,05,12,16.3,1,Y
IDCJAC0010,90194,2009,05,13,15.9,1,Y
IDCJAC0010,90194,2009,05,14,15.3,1,Y
IDCJAC0010,90194,2009,05,15,16.2,1,Y
IDCJAC0010,90194,2009,05,16,14.5,1,Y
IDCJAC0010,90194,2009,05,17,16.1,1,Y
IDCJAC0010,90194,2009,05,18,13.2,1,Y
IDCJAC0010,90194,2009,05,19,19.3,1,Y
IDCJAC0010,90194,2009,05,20,20.4,1,Y
IDCJAC0010,90194,2009,05,21,21.0,1,Y
IDCJAC0010,90194,2009,05,22,20.4,1,Y
IDCJAC0010,90194,2009,05,23,20.0,1,Y
IDCJAC0010,90194,2009,05,24,19.2,1,Y
IDCJAC0010,90194,2009,05,25,15.7,1,Y
IDCJAC0010,90194,2009,05,26,15.2,1,Y
IDCJAC0010,90194,2009,05,27,13.3,1,Y
IDCJAC0010,90194,2009,05,28,14.6,1,Y
IDCJAC0010,90194,2009,05,29,16.0,1,Y
IDCJAC0010,90194,2009,05,30,14.3,1,Y
IDCJAC0010,90194,2009,05,31,17.1,1,Y
IDCJAC0010,90194,2009,06,01,12.4,1,Y
IDCJAC0010,90194,2009,06,02,15.6,1,Y
IDCJAC0010,90194,2009,06,03,15.4,1,Y
IDCJAC0010,90194,2009,06,04,15.6,1,Y
IDCJAC0010,90194,2009,06,05,15.8,1,Y
IDCJAC0010,90194,2009,06,06,12.0,1,Y
IDCJAC0010,90194,2009,06,07,13.3,1,Y
IDCJAC0010,90194,2009,06,08,12.2,1,Y
IDCJAC0010,90194,2009,06,09,11.7,1,Y
IDCJAC0010,90194,2009,06,10,11.7,1,Y
IDCJAC0010,90194,2009,06,11,12.3,1,Y
IDCJAC0010,90194,2009,06,12,11.7,1,Y
IDCJAC0010,90194,2009,06,13,12.6,1,Y
IDCJAC0010,90194,2009,06,14,13.4,1,Y
IDCJAC0010,90194,2009,06,15,15.9,1,Y
IDCJAC0010,90194,2009,06,16,15.8,1,Y
IDCJAC0010,90194,2009,06,17,15.3,1,Y
IDCJAC0010,90194,2009,06,18,14.8,1,Y
IDCJAC0010,90194,2009,06,19,14.8,1,Y
IDCJAC0010,90194,2009,06,20,16.0,1,Y
IDCJAC0010,90194,2009,06,21,16.8,1,Y
IDCJAC0010,90194,2009,06,22,16.7,1,Y
IDCJAC0010,90194,2009,06,23,14.6,1,Y
IDCJAC0010,90194,2009,06,24,14.3,1,Y
IDCJAC0010,90194,2009,06,25,13.3,1,Y
IDCJAC0010,90194,2009,06,26,14.8,1,Y
IDCJAC0010,90194,2009,06,27,15.3,1,Y
IDCJAC0010,90194,2009,06,28,14.6,1,Y
IDCJAC0010,90194,2009,06,29,17.8,1,Y
IDCJAC0010,90194,2009,06,30,18.6,1,Y
IDCJAC0010,90194,2009,07,01,14.7,1,Y
IDCJAC0010,90194,2009,07,02,12.1,1,Y
IDCJAC0010,90194,2009,07,03,13.8,1,Y
IDCJAC0010,90194,2009,07,04,13.1,1,Y
IDCJAC0010,90194,2009,07,05,12.4,1,Y
IDCJAC0010,90194,2009,07,06,12.8,1,Y
IDCJAC0010,90194,2009,07,07,12.3,1,Y
IDCJAC0010,90194,2009,07,08,13.4,1,Y
IDCJAC0010,90194,2009,07,09,15.3,1,Y
IDCJAC0010,90194,2009,07,10,12.8,1,Y
IDCJAC0010,90194,2009,07,11,11.9,1,Y
IDCJAC0010,90194,2009,07,12,13.9,1,Y
IDCJAC0010,90194,2009,07,13,12.9,1,Y
IDCJAC0010,90194,2009,07,14,12.5,1,Y
IDCJAC0010,90194,2009,07,15,13.0,1,Y
IDCJAC0010,90194,2009,07,16,14.9,1,Y
IDCJAC0010,90194,2009,07,17,13.8,1,Y
IDCJAC0010,90194,2009,07,18,13.6,1,Y
IDCJAC0010,90194,2009,07,19,16.2,1,Y
IDCJAC0010,90194,2009,07,20,15.8,1,Y
IDCJAC0010,90194,2009,07,21,16.0,1,Y
IDCJAC0010,90194,2009,07,22,10.2,1,Y
IDCJAC0010,90194,2009,07,23,13.3,1,Y
IDCJAC0010,90194,2009,07,24,12.3,1,Y
IDCJAC0010,90194,2009,07,25,15.9,1,Y
IDCJAC0010,90194,2009,07,26,12.8,1,Y
IDCJAC0010,90194,2009,07,27,14.3,1,Y
IDCJAC0010,90194,2009,07,28,14.7,1,Y
IDCJAC0010,90194,2009,07,29,14.1,1,Y
IDCJAC0010,90194,2009,07,30,14.1,1,Y
IDCJAC0010,90194,2009,07,31,14.9,1,Y
IDCJAC0010,90194,2009,08,01,14.8,1,Y
IDCJAC0010,90194,2009,08,02,14.4,1,Y
IDCJAC0010,90194,2009,08,03,13.4,1,Y
IDCJAC0010,90194,2009,08,04,14.2,1,Y
IDCJAC0010,90194,2009,08,05,15.5,1,Y
IDCJAC0010,90194,2009,08,06,18.7,1,Y
IDCJAC0010,90194,2009,08,07,13.1,1,Y
IDCJAC0010,90194,2009,08,08,14.0,1,Y
IDCJAC0010,90194,2009,08,09,12.2,1,Y
IDCJAC0010,90194,2009,08,10,12.7,1,Y
IDCJAC0010,90194,2009,08,11,16.4,1,Y
IDCJAC0010,90194,2009,08,12,16.9,1,Y
IDCJAC0010,90194,2009,08,13,16.5,1,Y
IDCJAC0010,90194,2009,08,14,17.2,1,Y
IDCJAC0010,90194,2009,08,15,22.8,1,Y
IDCJAC0010,90194,2009,08,16,14.0,1,Y
IDCJAC0010,90194,2009,08,17,15.2,1,Y
IDCJAC0010,90194,2009,08,18,17.4,1,Y
IDCJAC0010,90194,2009,08,19,20.3,1,Y
IDCJAC0010,90194,2009,08,20,19.0,1,Y
IDCJAC0010,90194,2009,08,21,12.7,1,Y
IDCJAC0010,90194,2009,08,22,15.1,1,Y
IDCJAC0010,90194,2009,08,23,16.3,1,Y
IDCJAC0010,90194,2009,08,24,13.0,1,Y
IDCJAC0010,90194,2009,08,25,12.5,1,Y
IDCJAC0010,90194,2009,08,26,14.2,1,Y
IDCJAC0010,90194,2009,08,27,15.3,1,Y
IDCJAC0010,90194,2009,08,28,17.9,1,Y
IDCJAC0010,90194,2009,08,29,13.8,1,Y
IDCJAC0010,90194,2009,08,30,13.7,1,Y
IDCJAC0010,90194,2009,08,31,15.2,1,Y
IDCJAC0010,90194,2009,09,01,14.8,1,Y
IDCJAC0010,90194,2009,09,02,19.8,1,Y
IDCJAC0010,90194,2009,09,03,16.2,1,Y
IDCJAC0010,90194,2009,09,04,13.6,1,Y
IDCJAC0010,90194,2009,09,05,14.0,1,Y
IDCJAC0010,90194,2009,09,06,13.8,1,Y
IDCJAC0010,90194,2009,09,07,15.7,1,Y
IDCJAC0010,90194,2009,09,08,13.9,1,Y
IDCJAC0010,90194,2009,09,09,14.8,1,Y
IDCJAC0010,90194,2009,09,10,15.3,1,Y
IDCJAC0010,90194,2009,09,11,23.7,1,Y
IDCJAC0010,90194,2009,09,12,26.5,1,Y
IDCJAC0010,90194,2009,09,13,16.7,1,Y
IDCJAC0010,90194,2009,09,14,14.5,1,Y
IDCJAC0010,90194,2009,09,15,17.6,1,Y
IDCJAC0010,90194,2009,09,16,18.6,1,Y
IDCJAC0010,90194,2009,09,17,15.4,1,Y
IDCJAC0010,90194,2009,09,18,18.4,1,Y
IDCJAC0010,90194,2009,09,19,17.6,1,Y
IDCJAC0010,90194,2009,09,20,16.0,1,Y
IDCJAC0010,90194,2009,09,21,16.1,1,Y
IDCJAC0010,90194,2009,09,22,16.9,1,Y
IDCJAC0010,90194,2009,09,23,15.4,1,Y
IDCJAC0010,90194,2009,09,24,17.6,1,Y
IDCJAC0010,90194,2009,09,25,14.6,1,Y
IDCJAC0010,90194,2009,09,26,12.6,1,Y
IDCJAC0010,90194,2009,09,27,11.9,1,Y
IDCJAC0010,90194,2009,09,28,14.6,1,Y
IDCJAC0010,90194,2009,09,29,19.5,1,Y
IDCJAC0010,90194,2009,09,30,17.3,1,Y
IDCJAC0010,90194,2009,10,01,15.0,1,Y
IDCJAC0010,90194,2009,10,02,13.5,1,Y
IDCJAC0010,90194,2009,10,03,14.9,1,Y
IDCJAC0010,90194,2009,10,04,14.7,1,Y
IDCJAC0010,90194,2009,10,05,15.5,1,Y
IDCJAC0010,90194,2009,10,06,14.1,1,Y
IDCJAC0010,90194,2009,10,07,13.6,1,Y
IDCJAC0010,90194,2009,10,08,13.3,1,Y
IDCJAC0010,90194,2009,10,09,16.2,1,Y
IDCJAC0010,90194,2009,10,10,18.5,1,Y
IDCJAC0010,90194,2009,10,11,22.0,1,Y
IDCJAC0010,90194,2009,10,12,14.5,1,Y
IDCJAC0010,90194,2009,10,13,14.5,1,Y
IDCJAC0010,90194,2009,10,14,15.0,1,Y
IDCJAC0010,90194,2009,10,15,14.2,1,Y
IDCJAC0010,90194,2009,10,16,15.9,1,Y
IDCJAC0010,90194,2009,10,17,15.4,1,Y
IDCJAC0010,90194,2009,10,18,16.2,1,Y
IDCJAC0010,90194,2009,10,19,22.0,1,Y
IDCJAC0010,90194,2009,10,20,20.4,1,Y
IDCJAC0010,90194,2009,10,21,16.8,1,Y
IDCJAC0010,90194,2009,10,22,19.4,1,Y
IDCJAC0010,90194,2009,10,23,19.5,1,Y
IDCJAC0010,90194,2009,10,24,18.3,1,Y
IDCJAC0010,90194,2009,10,25,15.6,1,Y
IDCJAC0010,90194,2009,10,26,16.7,1,Y
IDCJAC0010,90194,2009,10,27,22.1,1,Y
IDCJAC0010,90194,2009,10,28,21.9,1,Y
IDCJAC0010,90194,2009,10,29,31.2,1,Y
IDCJAC0010,90194,2009,10,30,31.9,1,Y
IDCJAC0010,90194,2009,10,31,22.9,1,Y
IDCJAC0010,90194,2009,11,01,23.6,1,Y
IDCJAC0010,90194,2009,11,02,32.5,1,Y
IDCJAC0010,90194,2009,11,03,16.4,1,Y
IDCJAC0010,90194,2009,11,04,15.0,1,Y
IDCJAC0010,90194,2009,11,05,17.4,1,Y
IDCJAC0010,90194,2009,11,06,25.5,1,Y
IDCJAC0010,90194,2009,11,07,31.9,1,Y
IDCJAC0010,90194,2009,11,08,34.8,1,Y
IDCJAC0010,90194,2009,11,09,35.5,1,Y
IDCJAC0010,90194,2009,11,10,34.4,1,Y
IDCJAC0010,90194,2009,11,11,35.6,1,Y
IDCJAC0010,90194,2009,11,12,30.6,1,Y
IDCJAC0010,90194,2009,11,13,32.5,1,Y
IDCJAC0010,90194,2009,11,14,33.5,1,Y
IDCJAC0010,90194,2009,11,15,34.8,1,Y
IDCJAC0010,90194,2009,11,16,20.9,1,Y
IDCJAC0010,90194,2009,11,17,23.1,1,Y
IDCJAC0010,90194,2009,11,18,31.7,1,Y
IDCJAC0010,90194,2009,11,19,35.5,1,Y
IDCJAC0010,90194,2009,11,20,26.7,1,Y
IDCJAC0010,90194,2009,11,21,19.0,1,Y
IDCJAC0010,90194,2009,11,22,18.8,1,Y
IDCJAC0010,90194,2009,11,23,21.2,1,Y
IDCJAC0010,90194,2009,11,24,24.7,1,Y
IDCJAC0010,90194,2009,11,25,27.2,1,Y
IDCJAC0010,90194,2009,11,26,25.9,1,Y
IDCJAC0010,90194,2009,11,27,30.4,1,Y
IDCJAC0010,90194,2009,11,28,19.7,1,Y
IDCJAC0010,90194,2009,11,29,20.7,1,Y
IDCJAC0010,90194,2009,11,30,21.7,1,Y
IDCJAC0010,90194,2009,12,01,24.5,1,Y
IDCJAC0010,90194,2009,12,02,30.7,1,Y
IDCJAC0010,90194,2009,12,03,20.6,1,Y
IDCJAC0010,90194,2009,12,04,21.2,1,Y
IDCJAC0010,90194,2009,12,05,20.6,1,Y
IDCJAC0010,90194,2009,12,06,21.9,1,Y
IDCJAC0010,90194,2009,12,07,17.9,1,Y
IDCJAC0010,90194,2009,12,08,19.1,1,Y
IDCJAC0010,90194,2009,12,09,23.5,1,Y
IDCJAC0010,90194,2009,12,10,19.9,1,Y
IDCJAC0010,90194,2009,12,11,18.6,1,Y
IDCJAC0010,90194,2009,12,12,22.1,1,Y
IDCJAC0010,90194,2009,12,13,20.3,1,Y
IDCJAC0010,90194,2009,12,14,24.7,1,Y
IDCJAC0010,90194,2009,12,15,36.2,1,Y
IDCJAC0010,90194,2009,12,16,40.5,1,Y
IDCJAC0010,90194,2009,12,17,16.6,1,Y
IDCJAC0010,90194,2009,12,18,20.9,1,Y
IDCJAC0010,90194,2009,12,19,18.5,1,Y
IDCJAC0010,90194,2009,12,20,21.7,1,Y
IDCJAC0010,90194,2009,12,21,26.0,1,Y
IDCJAC0010,90194,2009,12,22,28.9,1,Y
IDCJAC0010,90194,2009,12,23,40.7,1,Y
IDCJAC0010,90194,2009,12,24,21.3,1,Y
IDCJAC0010,90194,2009,12,25,20.7,1,Y
IDCJAC0010,90194,2009,12,26,22.1,1,Y
IDCJAC0010,90194,2009,12,27,24.9,1,Y
IDCJAC0010,90194,2009,12,28,26.6,1,Y
IDCJAC0010,90194,2009,12,29,27.3,1,Y
IDCJAC0010,90194,2009,12,30,39.8,1,Y
IDCJAC0010,90194,2009,12,31,40.7,1,Y
IDCJAC0010,90194,2010,01,01,24.3,1,Y
IDCJAC0010,90194,2010,01,02,20.7,1,Y
IDCJAC0010,90194,2010,01,03,19.7,1,Y
IDCJAC0010,90194,2010,01,04,25.4,1,Y
IDCJAC0010,90194,2010,01,05,24.4,1,Y
IDCJAC0010,90194,2010,01,06,25.0,1,Y
IDCJAC0010,90194,2010,01,07,31.2,1,Y
IDCJAC0010,90194,2010,01,08,39.0,1,Y
IDCJAC0010,90194,2010,01,09,33.6,1,Y
IDCJAC0010,90194,2010,01,10,40.7,1,Y
IDCJAC0010,90194,2010,01,11,44.2,1,Y
IDCJAC0010,90194,2010,01,12,22.4,1,Y
IDCJAC0010,90194,2010,01,13,21.6,1,Y
IDCJAC0010,90194,2010,01,14,21.3,1,Y
IDCJAC0010,90194,2010,01,15,27.5,1,Y
IDCJAC0010,90194,2010,01,16,23.5,1,Y
IDCJAC0010,90194,2010,01,17,19.8,1,Y
IDCJAC0010,90194,2010,01,18,19.3,1,Y
IDCJAC0010,90194,2010,01,19,22.8,1,Y
IDCJAC0010,90194,2010,01,20,25.5,1,Y
IDCJAC0010,90194,2010,01,21,27.7,1,Y
IDCJAC0010,90194,2010,01,22,32.2,1,Y
IDCJAC0010,90194,2010,01,23,21.8,1,Y
IDCJAC0010,90194,2010,01,24,24.5,1,Y
IDCJAC0010,90194,2010,01,25,28.8,1,Y
IDCJAC0010,90194,2010,01,26,24.6,1,Y
IDCJAC0010,90194,2010,01,27,23.0,1,Y
IDCJAC0010,90194,2010,01,28,24.5,1,Y
IDCJAC0010,90194,2010,01,29,24.0,1,Y
IDCJAC0010,90194,2010,01,30,31.7,1,Y
IDCJAC0010,90194,2010,01,31,30.8,1,Y
IDCJAC0010,90194,2010,02,01,24.3,1,Y
IDCJAC0010,90194,2010,02,02,38.6,1,Y
IDCJAC0010,90194,2010,02,03,36.3,1,Y
IDCJAC0010,90194,2010,02,04,22.2,1,Y
IDCJAC0010,90194,2010,02,05,22.3,1,Y
IDCJAC0010,90194,2010,02,06,24.4,1,Y
IDCJAC0010,90194,2010,02,07,33.7,1,Y
IDCJAC0010,90194,2010,02,08,35.3,1,Y
IDCJAC0010,90194,2010,02,09,36.2,1,Y
IDCJAC0010,90194,2010,02,10,34.8,1,Y
IDCJAC0010,90194,2010,02,11,21.3,1,Y
IDCJAC0010,90194,2010,02,12,22.5,1,Y
IDCJAC0010,90194,2010,02,13,23.9,1,Y
IDCJAC0010,90194,2010,02,14,19.5,1,Y
IDCJAC0010,90194,2010,02,15,25.2,1,Y
IDCJAC0010,90194,2010,02,16,28.4,1,Y
IDCJAC0010,90194,2010,02,17,26.1,1,Y
IDCJAC0010,90194,2010,02,18,23.8,1,Y
IDCJAC0010,90194,2010,02,19,32.1,1,Y
IDCJAC0010,90194,2010,02,20,37.5,1,Y
IDCJAC0010,90194,2010,02,21,25.0,1,Y
IDCJAC0010,90194,2010,02,22,23.0,1,Y
IDCJAC0010,90194,2010,02,23,23.5,1,Y
IDCJAC0010,90194,2010,02,24,24.5,1,Y
IDCJAC0010,90194,2010,02,25,29.0,1,Y
IDCJAC0010,90194,2010,02,26,35.8,1,Y
IDCJAC0010,90194,2010,02,27,21.7,1,Y
IDCJAC0010,90194,2010,02,28,20.3,1,Y
IDCJAC0010,90194,2010,03,01,19.9,1,Y
IDCJAC0010,90194,2010,03,02,22.4,1,Y
IDCJAC0010,90194,2010,03,03,30.6,1,Y
IDCJAC0010,90194,2010,03,04,33.6,1,Y
IDCJAC0010,90194,2010,03,05,26.8,1,Y
IDCJAC0010,90194,2010,03,06,24.9,1,Y
IDCJAC0010,90194,2010,03,07,25.4,1,Y
IDCJAC0010,90194,2010,03,08,23.2,1,Y
IDCJAC0010,90194,2010,03,09,18.0,1,Y
IDCJAC0010,90194,2010,03,10,19.6,1,Y
IDCJAC0010,90194,2010,03,11,20.0,1,Y
IDCJAC0010,90194,2010,03,12,27.5,1,Y
IDCJAC0010,90194,2010,03,13,30.4,1,Y
IDCJAC0010,90194,2010,03,14,31.1,1,Y
IDCJAC0010,90194,2010,03,15,32.3,1,Y
IDCJAC0010,90194,2010,03,16,29.7,1,Y
IDCJAC0010,90194,2010,03,17,27.1,1,Y
IDCJAC0010,90194,2010,03,18,25.9,1,Y
IDCJAC0010,90194,2010,03,19,24.6,1,Y
IDCJAC0010,90194,2010,03,20,24.3,1,Y
IDCJAC0010,90194,2010,03,21,22.0,1,Y
IDCJAC0010,90194,2010,03,22,20.4,1,Y
IDCJAC0010,90194,2010,03,23,21.4,1,Y
IDCJAC0010,90194,2010,03,24,26.2,1,Y
IDCJAC0010,90194,2010,03,25,32.7,1,Y
IDCJAC0010,90194,2010,03,26,20.0,1,Y
IDCJAC0010,90194,2010,03,27,17.5,1,Y
IDCJAC0010,90194,2010,03,28,19.2,1,Y
IDCJAC0010,90194,2010,03,29,20.4,1,Y
IDCJAC0010,90194,2010,03,30,21.4,1,Y
IDCJAC0010,90194,2010,03,31,22.2,1,Y
IDCJAC0010,90194,2010,04,01,21.5,1,Y
IDCJAC0010,90194,2010,04,02,20.3,1,Y
IDCJAC0010,90194,2010,04,03,18.5,1,Y
IDCJAC0010,90194,2010,04,04,25.2,1,Y
IDCJAC0010,90194,2010,04,05,27.5,1,Y
IDCJAC0010,90194,2010,04,06,18.7,1,Y
IDCJAC0010,90194,2010,04,07,21.1,1,Y
IDCJAC0010,90194,2010,04,08,20.5,1,Y
IDCJAC0010,90194,2010,04,09,16.3,1,Y
IDCJAC0010,90194,2010,04,10,19.8,1,Y
IDCJAC0010,90194,2010,04,11,16.0,1,Y
IDCJAC0010,90194,2010,04,12,15.9,1,Y
IDCJAC0010,90194,2010,04,13,15.5,1,Y
IDCJAC0010,90194,2010,04,14,18.3,1,Y
IDCJAC0010,90194,2010,04,15,17.9,1,Y
IDCJAC0010,90194,2010,04,16,23.4,1,Y
IDCJAC0010,90194,2010,04,17,26.7,1,Y
IDCJAC0010,90194,2010,04,18,22.5,1,Y
IDCJAC0010,90194,2010,04,19,22.1,1,Y
IDCJAC0010,90194,2010,04,20,19.5,1,Y
IDCJAC0010,90194,2010,04,21,23.7,1,Y
IDCJAC0010,90194,2010,04,22,27.8,1,Y
IDCJAC0010,90194,2010,04,23,18.1,1,Y
IDCJAC0010,90194,2010,04,24,17.5,1,Y
IDCJAC0010,90194,2010,04,25,17.0,1,Y
IDCJAC0010,90194,2010,04,26,18.9,1,Y
IDCJAC0010,90194,2010,04,27,16.4,1,Y
IDCJAC0010,90194,2010,04,28,16.9,1,Y
IDCJAC0010,90194,2010,04,29,15.6,1,Y
IDCJAC0010,90194,2010,04,30,15.6,1,Y
IDCJAC0010,90194,2010,05,01,21.9,1,Y
IDCJAC0010,90194,2010,05,02,17.0,1,Y
IDCJAC0010,90194,2010,05,03,21.0,1,Y
IDCJAC0010,90194,2010,05,04,14.0,1,Y
IDCJAC0010,90194,2010,05,05,14.7,1,Y
IDCJAC0010,90194,2010,05,06,17.2,1,Y
IDCJAC0010,90194,2010,05,07,17.7,1,Y
IDCJAC0010,90194,2010,05,08,18.1,1,Y
IDCJAC0010,90194,2010,05,09,19.6,1,Y
IDCJAC0010,90194,2010,05,10,21.1,1,Y
IDCJAC0010,90194,2010,05,11,12.8,1,Y
IDCJAC0010,90194,2010,05,12,14.9,1,Y
IDCJAC0010,90194,2010,05,13,13.8,1,Y
IDCJAC0010,90194,2010,05,14,16.7,1,Y
IDCJAC0010,90194,2010,05,15,17.5,1,Y
IDCJAC0010,90194,2010,05,16,17.9,1,Y
IDCJAC0010,90194,2010,05,17,18.1,1,Y
IDCJAC0010,90194,2010,05,18,15.6,1,Y
IDCJAC0010,90194,2010,05,19,17.4,1,Y
IDCJAC0010,90194,2010,05,20,16.9,1,Y
IDCJAC0010,90194,2010,05,21,15.3,1,Y
IDCJAC0010,90194,2010,05,22,15.3,1,Y
IDCJAC0010,90194,2010,05,23,14.6,1,Y
IDCJAC0010,90194,2010,05,24,14.3,1,Y
